"","outcome","moderator","cor.est","bf","ci.lower","ci.upper","logbf","cor.lab","bf.type","bf.tran","bf.tran.dir","bf.lab"
"27","Optimism","Tightness",-0.39,2.58710170961258,-0.66,-0.03,0.95,"paste(italic(r), ' = -0.39')","BF['1,0']",2.59,2.59,"paste(italic(BF['1,0']), ' = 2.59')"
"28","Optimism","Religiosity",-0.25,0.887432744092316,-0.54,0.1,-0.12,"paste(italic(r), ' = -0.25')","BF['0,1']",1.13,-1.13,"paste(italic(BF['0,1']), ' = 1.13')"
"29","Optimism","GDP",0.35,2.21328453509023,0.01,0.61,0.79,"paste(italic(r), ' = 0.35')","BF['1,0']",2.21,2.21,"paste(italic(BF['1,0']), ' = 2.21')"
"30","Optimism","Residential mobility",0.03,0.383676484737406,-0.31,0.37,-0.96,"paste(italic(r), ' = 0.03')","BF['0,1']",2.61,-2.61,"paste(italic(BF['0,1']), ' = 2.61')"
"31","Optimism","Power distance",-0.3,1.38707813747803,-0.58,0.04,0.33,"paste(italic(r), ' = -0.3')","BF['1,0']",1.39,1.39,"paste(italic(BF['1,0']), ' = 1.39')"
"32","Optimism","Individualism",0.36,2.3679206705216,0.02,0.62,0.86,"paste(italic(r), ' = 0.36')","BF['1,0']",2.37,2.37,"paste(italic(BF['1,0']), ' = 2.37')"
"33","Optimism","Motivation",0.02,0.38167027378764,-0.32,0.36,-0.96,"paste(italic(r), ' = 0.02')","BF['0,1']",2.62,-2.62,"paste(italic(BF['0,1']), ' = 2.62')"
"34","Optimism","Uncertainty avoidance",0.15,0.526410857362871,-0.19,0.47,-0.64,"paste(italic(r), ' = 0.15')","BF['0,1']",1.9,-1.9,"paste(italic(BF['0,1']), ' = 1.9')"
"35","Optimism","Long term orientation",-0.07,0.402336471495455,-0.4,0.28,-0.91,"paste(italic(r), ' = -0.07')","BF['0,1']",2.49,-2.49,"paste(italic(BF['0,1']), ' = 2.49')"
"36","Optimism","Indulgence",0.43,5.23471831476499,0.1,0.67,1.66,"paste(italic(r), ' = 0.43')","BF['1,0']",5.23,5.23,"paste(italic(BF['1,0']), ' = 5.23')"
"37","Life satisfaction","Relational mobility",0.28,0.857125014312221,-0.17,0.64,-0.15,"paste(italic(r), ' = 0.28')","BF['0,1']",1.17,-1.17,"paste(italic(BF['0,1']), ' = 1.17')"
"38","Life satisfaction","Responsibilism",-0.08,0.416590017900396,-0.41,0.26,-0.88,"paste(italic(r), ' = -0.08')","BF['0,1']",2.4,-2.4,"paste(italic(BF['0,1']), ' = 2.4')"
"39","Life satisfaction","Tightness",-0.41,3.0654198364775,-0.67,-0.05,1.12,"paste(italic(r), ' = -0.41')","BF['1,0']",3.07,3.07,"paste(italic(BF['1,0']), ' = 3.07')"
"40","Life satisfaction","Religiosity",-0.1,0.433652865982166,-0.42,0.25,-0.84,"paste(italic(r), ' = -0.1')","BF['0,1']",2.31,-2.31,"paste(italic(BF['0,1']), ' = 2.31')"
"41","Life satisfaction","GDP",0.14,0.489624340798872,-0.21,0.45,-0.71,"paste(italic(r), ' = 0.14')","BF['0,1']",2.04,-2.04,"paste(italic(BF['0,1']), ' = 2.04')"
"42","Life satisfaction","Residential mobility",-0.11,0.449779980056178,-0.43,0.24,-0.8,"paste(italic(r), ' = -0.11')","BF['0,1']",2.22,-2.22,"paste(italic(BF['0,1']), ' = 2.22')"
"43","Life satisfaction","Power distance",-0.45,7.75327795294354,-0.68,-0.13,2.05,"paste(italic(r), ' = -0.45')","BF['1,0']",7.75,7.75,"paste(italic(BF['1,0']), ' = 7.75')"
"44","Life satisfaction","Individualism",0.24,0.820614022651452,-0.11,0.53,-0.2,"paste(italic(r), ' = 0.24')","BF['0,1']",1.22,-1.22,"paste(italic(BF['0,1']), ' = 1.22')"
"45","Life satisfaction","Motivation",-0.04,0.388975344788518,-0.38,0.3,-0.94,"paste(italic(r), ' = -0.04')","BF['0,1']",2.57,-2.57,"paste(italic(BF['0,1']), ' = 2.57')"
"46","Life satisfaction","Uncertainty avoidance",0.14,0.50000018907565,-0.21,0.46,-0.69,"paste(italic(r), ' = 0.14')","BF['0,1']",2,-2,"paste(italic(BF['0,1']), ' = 2')"
"47","Life satisfaction","Long term orientation",0.01,0.379003582149794,-0.33,0.34,-0.97,"paste(italic(r), ' = 0.01')","BF['0,1']",2.64,-2.64,"paste(italic(BF['0,1']), ' = 2.64')"
"48","Life satisfaction","Indulgence",0.1,0.44235851344323,-0.25,0.43,-0.82,"paste(italic(r), ' = 0.1')","BF['0,1']",2.26,-2.26,"paste(italic(BF['0,1']), ' = 2.26')"
"49","Envy","Relational mobility",-0.03,0.468998118704413,-0.46,0.4,-0.76,"paste(italic(r), ' = -0.03')","BF['0,1']",2.13,-2.13,"paste(italic(BF['0,1']), ' = 2.13')"
"50","Envy","Responsibilism",-0.07,0.402302402779763,-0.4,0.28,-0.91,"paste(italic(r), ' = -0.07')","BF['0,1']",2.49,-2.49,"paste(italic(BF['0,1']), ' = 2.49')"
"51","Envy","Tightness",0.17,0.567057049500148,-0.21,0.51,-0.57,"paste(italic(r), ' = 0.17')","BF['0,1']",1.76,-1.76,"paste(italic(BF['0,1']), ' = 1.76')"
"52","Envy","Religiosity",0.07,0.404932145038037,-0.27,0.4,-0.9,"paste(italic(r), ' = 0.07')","BF['0,1']",2.47,-2.47,"paste(italic(BF['0,1']), ' = 2.47')"
"53","Envy","GDP",-0.01,0.379128238264877,-0.35,0.33,-0.97,"paste(italic(r), ' = -0.01')","BF['0,1']",2.64,-2.64,"paste(italic(BF['0,1']), ' = 2.64')"
"54","Envy","Residential mobility",-0.05,0.394119697921886,-0.39,0.29,-0.93,"paste(italic(r), ' = -0.05')","BF['0,1']",2.54,-2.54,"paste(italic(BF['0,1']), ' = 2.54')"
"55","Envy","Power distance",0.18,0.582799424135741,-0.17,0.49,-0.54,"paste(italic(r), ' = 0.18')","BF['0,1']",1.72,-1.72,"paste(italic(BF['0,1']), ' = 1.72')"
"56","Envy","Individualism",-0.03,0.383644042154009,-0.37,0.31,-0.96,"paste(italic(r), ' = -0.03')","BF['0,1']",2.61,-2.61,"paste(italic(BF['0,1']), ' = 2.61')"
"57","Envy","Motivation",-0.04,0.388791936653185,-0.38,0.3,-0.94,"paste(italic(r), ' = -0.04')","BF['0,1']",2.57,-2.57,"paste(italic(BF['0,1']), ' = 2.57')"
"58","Envy","Uncertainty avoidance",0.24,0.856472172995019,-0.11,0.54,-0.15,"paste(italic(r), ' = 0.24')","BF['0,1']",1.17,-1.17,"paste(italic(BF['0,1']), ' = 1.17')"
"59","Envy","Long term orientation",0.03,0.384563748667478,-0.31,0.37,-0.96,"paste(italic(r), ' = 0.03')","BF['0,1']",2.6,-2.6,"paste(italic(BF['0,1']), ' = 2.6')"
"60","Envy","Indulgence",-0.07,0.408823827771387,-0.4,0.28,-0.89,"paste(italic(r), ' = -0.07')","BF['0,1']",2.45,-2.45,"paste(italic(BF['0,1']), ' = 2.45')"
"61","Indebtedness","Relational mobility",0.11,0.512163668361001,-0.33,0.52,-0.67,"paste(italic(r), ' = 0.11')","BF['0,1']",1.95,-1.95,"paste(italic(BF['0,1']), ' = 1.95')"
"62","Indebtedness","Responsibilism",-0.16,0.534468051404046,-0.47,0.19,-0.63,"paste(italic(r), ' = -0.16')","BF['0,1']",1.87,-1.87,"paste(italic(BF['0,1']), ' = 1.87')"
"63","Indebtedness","Tightness",0.05,0.415759232133316,-0.33,0.41,-0.88,"paste(italic(r), ' = 0.05')","BF['0,1']",2.41,-2.41,"paste(italic(BF['0,1']), ' = 2.41')"
"64","Indebtedness","Religiosity",-0.38,3.17420634106199,-0.64,-0.05,1.16,"paste(italic(r), ' = -0.38')","BF['1,0']",3.17,3.17,"paste(italic(BF['1,0']), ' = 3.17')"
"65","Indebtedness","GDP",0.41,4.43087251454194,0.08,0.66,1.49,"paste(italic(r), ' = 0.41')","BF['1,0']",4.43,4.43,"paste(italic(BF['1,0']), ' = 4.43')"
"66","Indebtedness","Residential mobility",0.24,0.832936875679362,-0.11,0.53,-0.18,"paste(italic(r), ' = 0.24')","BF['0,1']",1.2,-1.2,"paste(italic(BF['0,1']), ' = 1.2')"
"67","Indebtedness","Power distance",-0.22,0.7381301407042,-0.52,0.13,-0.3,"paste(italic(r), ' = -0.22')","BF['0,1']",1.35,-1.35,"paste(italic(BF['0,1']), ' = 1.35')"
"68","Indebtedness","Individualism",0.2,0.669528131098258,-0.15,0.51,-0.4,"paste(italic(r), ' = 0.2')","BF['0,1']",1.49,-1.49,"paste(italic(BF['0,1']), ' = 1.49')"
"69","Indebtedness","Motivation",0.15,0.523731457223241,-0.19,0.47,-0.65,"paste(italic(r), ' = 0.15')","BF['0,1']",1.91,-1.91,"paste(italic(BF['0,1']), ' = 1.91')"
"70","Indebtedness","Uncertainty avoidance",-0.27,1.05023401930676,-0.56,0.08,0.05,"paste(italic(r), ' = -0.27')","BF['1,0']",1.05,1.05,"paste(italic(BF['1,0']), ' = 1.05')"
"71","Indebtedness","Long term orientation",0.09,0.427469224954536,-0.25,0.42,-0.85,"paste(italic(r), ' = 0.09')","BF['0,1']",2.34,-2.34,"paste(italic(BF['0,1']), ' = 2.34')"
"72","Indebtedness","Indulgence",0.06,0.400591346815815,-0.29,0.39,-0.91,"paste(italic(r), ' = 0.06')","BF['0,1']",2.5,-2.5,"paste(italic(BF['0,1']), ' = 2.5')"
