"iso","country","dist.us","relational_mobility","responsibilism","tightness","relig_mean","mean_GDP","resmobility","power.distance","individualism","motivation","uncertainty.avoidance","long.term.orientation","indulgence","sample"
"CYP","Cyprus",0.0608,NA,45.62,NA,0.7425,27937.096876,0.0913,NA,NA,NA,NA,NA,NA,"no"
"CZE","Czech Rep.",0.1911,NA,59.58,-0.462699395,0.255,21120.23639,0.0795,57,70,57,74,51,29,"no"
"DEU","Germany",0.0953,-0.011,16.79,0.12889995,0.4025,46285.039989,0.0515,35,79,66,65,57,40,"yes"
"DJI","Djibouti",NA,NA,NA,NA,0.91,2293.2280266,NA,NA,NA,NA,NA,NA,NA,"no"
"DMA","Dominica",NA,NA,NA,NA,NA,7701.104967,NA,NA,NA,NA,NA,NA,NA,"no"
"DNK","Denmark",NA,NA,0,NA,0.1825,59098.256992,0.2087,18,89,16,23,59,70,"yes"
"DOM","Dominican Rep.",0.1327,NA,NA,NA,0.905,6927.790952,0.2215,65,38,65,45,11,54,"no"
"DZA","Algeria",0.118,NA,74.95,0.694447099,0.925,5047.8175324,0.083,80,29,35,70,25,32,"no"
"ECU","Ecuador",0.1513,NA,NA,-0.177708163,0.885,5940.260714,0.0648,78,24,63,67,24,NA,"no"
"EGY","Egypt",0.1696,-0.194,88.44,NA,0.9775,2967.7147805,0.0748,80,13,55,55,22,0,"no"
"ERI","Eritrea",NA,NA,NA,NA,NA,688.6816596,NA,NA,NA,NA,NA,NA,NA,"no"
"ESP","Spain",0.07,0.128,59.49,-0.298585036,0.3925,28787.201411,0.1139,57,67,42,86,47,44,"yes"
"EST","Estonia",0.1434,-0.024,33.74,-0.469581699,0.22,20382.936869,0.0887,40,62,30,60,71,16,"no"
"ETH","Ethiopia",0.1395,NA,77.6,NA,0.973333333333333,637.48166839,0.1351,70,7,65,55,14,46,"no"
"FIN","Finland",0.0921,NA,53.6,-0.283406106,0.29,47731.45235,0.1916,33,75,26,59,63,57,"no"
"FJI","Fiji",NA,NA,NA,NA,NA,5151.5646092,NA,78,14,46,48,NA,NA,"no"
"FRA","France",0.1195,0.213,25.48,NA,0.2825,40402.07238,0.1569,68,74,43,86,60,48,"yes"
"FRO","Faroe Islands",NA,NA,NA,NA,NA,57453.128788,NA,NA,NA,NA,NA,NA,NA,"no"
"FSM","Micronesia (Federated States of)",NA,NA,NA,NA,NA,3146.5979728,NA,NA,NA,NA,NA,NA,NA,"no"
"GAB","Gabon",NA,NA,NA,NA,0.8825,8023.2333585,0.16,NA,NA,NA,NA,NA,NA,"no"
"GBR","United Kingdom",0.0697,0.044,36.66,-0.206607219,0.28,42806.267559,0.1312,35,76,66,35,60,69,"yes"
"GEO","Georgia",0.1172,NA,NA,NA,0.8425,4468.7671231,0.0684,65,15,55,85,24,32,"no"
"GHA","Ghana",0.1581,NA,79.65,1.242676502,0.945,1952.608843,0.19,80,9,40,65,1,72,"yes"
"GIB","Gibraltar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"GIN","Guinea",NA,NA,NA,NA,0.9675,816.0878512,0.0968,NA,NA,NA,NA,NA,NA,"no"
"GMB","Gambia",NA,NA,NA,NA,NA,669.19122313,NA,NA,NA,NA,NA,NA,NA,"no"
"GNB","Guinea-Bissau",NA,NA,NA,NA,NA,720.28555255,NA,NA,NA,NA,NA,NA,NA,"no"
"GNQ","Equatorial Guinea",NA,NA,NA,NA,NA,11136.1407626,NA,NA,NA,NA,NA,NA,NA,"no"
"GRC","Greece",NA,NA,35.8,-0.278680907,0.705,20180.466375,0.0937,60,59,57,100,51,50,"yes"
"GRD","Grenada",NA,NA,NA,NA,NA,8663.2396254,NA,NA,NA,NA,NA,NA,NA,"no"
"GRL","Greenland",NA,NA,55.77,NA,NA,49717.581099,NA,NA,NA,NA,NA,NA,NA,"no"
"GTM","Guatemala",0.1592,NA,NA,NA,0.9075,3921.0108283,0.097,95,36,37,98,25,NA,"no"
"GUM","Guam",NA,NA,NA,NA,NA,34884.006254,NA,NA,NA,NA,NA,NA,NA,"no"
"GUY","Guyana",NA,NA,78.38,NA,NA,5834.1099427,NA,NA,NA,NA,NA,NA,NA,"no"
"HKG","Hong Kong",0.1353,-0.338,83.58,NA,0.263333333333333,42592.50237,0.0477,68,50,57,29,93,17,"no"
"HND","Honduras",NA,NA,NA,NA,0.8225,2272.6845914,0.081,80,20,40,50,NA,NA,"no"
"HRV","Croatia",0.1076,NA,46.99,NA,0.575,14136.985445,0.0544,73,42,40,80,40,33,"no"
"HTI","Haiti",NA,NA,NA,NA,0.8175,1385.51016,0.1003,NA,NA,NA,NA,NA,NA,"no"
"HUN","Hungary",0.1348,-0.387,36.22,-0.603726491,0.3825,14501.498739,0.0685,46,71,88,82,45,31,"yes"
"IDN","Indonesia",0.1958,NA,76.54,0.502248457,0.9875,3664.958827,0.0449,78,5,46,48,29,38,"no"
"IMN","Isle of Man",NA,NA,NA,NA,NA,83852.685039,NA,NA,NA,NA,NA,NA,NA,"no"
"IND","India",0.0845,NA,84.66,0.731557362,0.805,1701.7848682,0.0577,77,24,56,40,51,26,"yes"
"IRL","Ireland",NA,NA,31.25,-0.182475794,0.515,66442.969626,0.0781,28,58,68,35,51,65,"yes"
"IRN","Iran",0.0959,NA,80.75,0.37609029,0.883333333333333,5566.9307497,0.1624,58,23,43,59,30,40,"no"
"IRQ","Iraq",0.1669,NA,88.49,NA,0.86,5430.0466704,0.2232,97,25,53,96,11,23,"no"
"ISL","Iceland",NA,NA,25.51,0.040180138,0.355,58696.961646,0.189,30,83,10,50,57,67,"no"
"ISR","Israel",0.106,0.088,56.38,-0.399564115,0.4275,38856.2886,0.1518,13,56,47,81,47,NA,"yes"
"ITA","Italy",0.0634,NA,47.73,-0.060344423,0.655,34030.383495,0.0688,50,53,70,75,39,30,"yes"
"JAM","Jamaica",NA,NA,NA,NA,0.853333333333333,5206.9586186,0.2028,45,39,68,13,NA,NA,"no"
"JOR","Jordan",0.1961,-0.341,NA,NA,NA,4105.1443679,0.0446,70,20,45,65,20,43,"no"
"JPN","Japan",0.1222,-0.414,56.51,0.190571687,0.253333333333333,41065.742337,0.1021,54,62,95,92,100,42,"yes"
"KAZ","Kazakhstan",0.1616,NA,56.38,0.16748056,0.4725,10353.8005313,0.0802,88,20,50,88,85,22,"yes"
"KEN","Kenya",NA,NA,84.75,0.529029156,0.93,1567.0100482,0.1735,70,4,60,50,11,NA,"no"
"KGZ","Kyrgyzstan",0.1169,NA,NA,NA,0.7075,1218.5569135,0.0732,NA,NA,NA,NA,NA,NA,"no"
"KHM","Cambodia",NA,NA,NA,NA,0.8725,1641.2167771,0.1142,NA,NA,NA,NA,NA,NA,"no"
"KIR","Kiribati",NA,NA,NA,NA,NA,1779.2214389,NA,NA,NA,NA,NA,NA,NA,"no"
"KNA","St. Kitts & Nevis",NA,NA,NA,NA,NA,20370.126366,NA,NA,NA,NA,NA,NA,NA,"no"
"KOR","South Korea",0.0948,-0.007,64.12,0.189389237,0.46,29367.870003,0.1331,60,58,39,85,86,29,"yes"
"KWT","Kuwait",0.1756,NA,100,NA,NA,37061.012129,0.1291,73,28,45,70,31,29,"no"
"LAO","Laos",NA,NA,NA,NA,0.98,2129.3540179,0.0705,NA,NA,NA,NA,NA,NA,"no"
"LBN","Lebanon",0.1606,-0.163,72.74,NA,0.8325,8003.4908576,0.0553,62,27,48,57,47,10,"no"
"LBR","Liberia",NA,NA,NA,NA,0.906666666666667,669.75430941,0.1504,NA,NA,NA,NA,NA,NA,"no"
"LBY","Libya",0.1698,-0.255,NA,NA,NA,9620.8106604,0.0611,100,17,66,67,22,74,"no"
"LCA","St. Lucia",NA,NA,NA,NA,NA,10216.4805498,NA,NA,NA,NA,NA,NA,NA,"no"
"LIE","Liechtenstein",NA,NA,NA,NA,NA,166814.46143,NA,NA,NA,NA,NA,NA,NA,"no"
"LKA","Sri Lanka",NA,NA,81.71,0.647660832,0.985,3916.5669913,0.0763,80,35,10,45,45,NA,"no"
"LSO","Lesotho",NA,NA,NA,NA,0.94,1117.75922001,NA,NA,NA,NA,NA,NA,NA,"no"
"LTU","Lithuania",0.122,NA,NA,NA,0.4275,16649.019144,0.0786,42,55,19,65,49,16,"no"
"LUX","Luxembourg",NA,NA,NA,NA,0.3325,114426.1418,0.1308,40,60,50,70,64,56,"no"
"LVA","Latvia",0.1521,NA,59.07,-0.039066119,0.3775,15030.658632,0.0966,44,70,9,63,69,13,"no"
"MAC","Macau",NA,NA,81.6,NA,NA,73802.851459,NA,NA,NA,NA,NA,NA,NA,"no"
"MAF","Saint Martin (French part)",NA,NA,NA,NA,NA,20200.80589,NA,NA,NA,NA,NA,NA,NA,"no"
"MAR","Morocco",0.1573,-0.139,84.09,NA,0.946666666666667,3314.2771972,0.0967,70,24,53,68,25,25,"no"
"MCO","Monaco",NA,NA,NA,NA,NA,179908.50879,NA,NA,NA,NA,NA,NA,NA,"no"
"MDA","Moldova",0.0944,NA,NA,NA,0.7475,3458.4641728,0.053,90,27,39,95,71,19,"no"
"MDG","Madagascar",NA,NA,89.74,NA,0.9225,486.28666374,0.1066,NA,NA,NA,NA,NA,NA,"no"
"MDV","Maldives",NA,NA,NA,NA,NA,9272.0761094,NA,NA,NA,NA,NA,NA,NA,"no"
"MEX","Mexico",0.0607,0.359,62.06,-0.347769818,0.5775,10208.0866745,0.0501,81,34,69,82,23,97,"yes"
"MHL","Marshall Islands",NA,NA,NA,NA,NA,4264.6227241,NA,NA,NA,NA,NA,NA,NA,"no"
"MKD","Macedonia",0.0975,NA,46.82,NA,0.7525,5892.7254709,0.0386,90,40,45,87,35,35,"yes"
"MLI","Mali",0.1736,NA,82.06,NA,0.9475,774.9272839,0.0675,NA,NA,NA,NA,NA,NA,"no"
"MLT","Malta",NA,NA,NA,NA,0.855,27879.061718,0.0959,56,59,47,96,47,66,"no"
"MMR","Myanmar",NA,NA,72.97,NA,0.973333333333333,1279.156301,0.048,NA,NA,NA,NA,NA,NA,"no"
"MNE","Montenegro",0.1444,NA,NA,NA,0.5625,7528.3316385,0.0655,88,27,48,90,40,20,"no"
"MNG","Mongolia",NA,NA,63.29,NA,0.4175,4009.2544437,0.1209,93,37,29,39,50,42,"no"
"MNP","Northern Mariana Islands",NA,NA,NA,NA,NA,20053.363265,NA,NA,NA,NA,NA,NA,NA,"no"
"MOZ","Mozambique",NA,NA,82.95,0.531379852,0.9,570.95363543,NA,85,15,38,44,11,80,"no"
"MRT","Mauritania",NA,NA,NA,NA,0.9675,1745.9058116,0.1391,NA,NA,NA,NA,NA,NA,"no"
"MUS","Mauritius",NA,0.059,NA,NA,0.96,10099.231618,NA,NA,NA,NA,NA,NA,NA,"no"
"MWI","Malawi",NA,NA,71.38,NA,0.985,555.04654211,0.1953,70,30,40,50,NA,NA,"no"
"MYS","Malaysia",0.1442,-0.39,72,0.222572209,0.9275,10331.1914755,0.1364,100,27,50,36,47,57,"yes"
"NAM","Namibia",NA,NA,87.01,NA,0.92,5073.5257141,NA,65,30,40,45,35,NA,"no"
"NCL","New Caledonia",NA,NA,NA,NA,NA,34446.447172,NA,NA,NA,NA,NA,NA,NA,"no"
"NER","Niger",NA,NA,NA,NA,0.98,538.66279134,0.0592,NA,NA,NA,NA,NA,NA,"no"
"NGA","Nigeria",0.1355,NA,75.67,0.543000249,0.935,2388.8300994,0.2029,80,0,60,55,8,84,"yes"
"NIC","Nicaragua",NA,NA,71.38,NA,0.8475,1957.2371988,0.0716,NA,NA,NA,NA,NA,NA,"no"
"NLD","Netherlands",0.1234,0.197,20.41,-0.544559055,0.2875,51432.915645,0.0805,38,100,14,53,67,68,"yes"
"NOR","Norway",0.1186,NA,14.95,NA,0.24,85399.088304,0.2213,31,81,8,50,55,55,"yes"
"NPL","Nepal",NA,NA,71.91,NA,0.9475,952.20868078,0.0837,65,30,40,40,NA,NA,"no"
"NRU","Nauru",NA,NA,NA,NA,NA,9338.8263091,NA,NA,NA,NA,NA,NA,NA,"no"
"NZL","New Zealand",0.0538,0.083,22.37,NA,0.335,41530.347393,0.2231,22,69,58,49,55,75,"no"
"OMN","Oman",NA,NA,81.38,NA,NA,20605.435367,NA,NA,NA,NA,NA,NA,NA,"no"
"PAK","Pakistan",0.1784,NA,82.76,NA,0.95,1339.0696136,0.0504,55,5,50,70,19,0,"no"
"PAN","Panama",NA,NA,NA,NA,0.745,13674.3064312,0.1008,95,11,44,86,NA,NA,"no"
"PER","Peru",0.0722,NA,52.7,-0.337518933,0.83,6512.8410043,0.1013,64,20,42,87,5,46,"no"
"PHL","Philippines",0.1035,-0.083,77.22,NA,0.9475,2937.670702,0.1069,94,17,64,44,46,42,"no"
"PLW","Palau",NA,NA,NA,NA,NA,14472.414993,NA,NA,NA,NA,NA,NA,NA,"no"
"PNG","Papua New Guinea",NA,NA,NA,NA,NA,2505.7922036,NA,NA,NA,NA,NA,NA,NA,"no"
"POL","Poland",0.0934,0.05,55.61,-0.324655209,0.635,14137.445727,0.0661,68,47,64,93,49,29,"yes"
"PRI","Puerto Rico",0.0656,0.308,45.74,NA,0.78,30017.700716,NA,68,43,56,38,27,90,"no"
"PRK","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"PRT","Portugal",NA,0,47.21,0.100365352,0.5975,21745.949482,0.092,63,59,31,99,42,33,"yes"
"PRY","Paraguay",NA,NA,NA,NA,0.9175,5978.7378468,0.0879,70,12,40,85,20,56,"no"
"PSE","Palestine",0.1927,-0.269,NA,NA,0.95,3348.8533785,0.0537,NA,NA,NA,NA,NA,NA,"no"
"PYF","French Polynesia",NA,NA,NA,NA,NA,21183.077493,NA,NA,NA,NA,NA,NA,NA,"no"
"QAT","Qatar",0.2081,NA,NA,0.8512609,0.97,79435.29685,0.2896,93,18,55,80,14,NA,"no"
"ROU","Romania",0.0929,NA,35.68,NA,0.8025,10570.6209807,0.0584,90,46,42,90,32,20,"no"
"RUS","Russia",0.1369,NA,58.04,-0.469291149,0.33,12107.180567,0.0863,93,46,36,95,58,20,"no"
"RWA","Rwanda",0.1524,NA,NA,NA,0.9425,737.01779299,0.1051,NA,NA,NA,NA,NA,NA,"no"
"SAU","Saudi Arabia",0.131,NA,69.38,0.616244523,NA,25593.544684,0.1209,72,48,43,64,27,14,"no"
"SDN","Sudan",NA,NA,NA,NA,0.853333333333333,1007.6844727,0.188,NA,NA,NA,NA,NA,NA,"no"
"SEN","Senegal",NA,NA,88.81,NA,0.96,1366.631276,0.079,70,25,45,55,25,NA,"no"
"SGP","Singapore",0.0709,-0.137,69.04,0.356392049,0.666666666666667,59206.802381,0.0964,74,43,48,8,67,46,"no"
"SLB","Solomon Islands",NA,NA,NA,NA,NA,2115.3532088,NA,NA,NA,NA,NA,NA,NA,"no"
"SLE","Sierra Leone",NA,NA,NA,NA,0.96,901.75538019,0.2338,70,20,40,50,NA,NA,"no"
"SLV","El Salvador",0.149,NA,NA,NA,0.895,3828.9455969,0.0639,66,19,40,94,20,89,"no"
"SMR","San Marino",NA,NA,NA,NA,NA,47731.829331,NA,NA,NA,NA,NA,NA,NA,"no"
"SOM","Somalia",NA,NA,NA,NA,0.95,439.34742894,NA,NA,NA,NA,NA,NA,NA,"no"
"SRB","Serbia",0.1093,NA,49.82,NA,0.54,6903.7355837,0.054,86,42,43,92,37,28,"no"
"SSD","South Sudan",NA,NA,NA,NA,0.88,1306.2631946,NA,NA,NA,NA,NA,NA,NA,"no"
"STP","São Tomé & Príncipe",NA,NA,NA,NA,NA,1551.9733999,NA,NA,NA,NA,NA,NA,NA,"no"
"SUR","Suriname",NA,NA,NA,NA,0.79,7351.0657268,0.1607,85,47,37,92,NA,NA,"no"
"SVK","Slovakia",0.1364,NA,55.85,-0.36028055,0.4625,18250.871341,0.0436,100,57,100,51,53,28,"no"
"SVN","Slovenia",0.1158,NA,40.7,NA,0.36,23717.527629,0.0765,71,81,19,88,50,48,"no"
"SWE","Sweden",0.1391,0.171,31.05,0.338195036,0.2125,55348.55096,0.1419,31,87,5,29,52,78,"yes"
"SWZ","Swaziland",NA,NA,NA,NA,0.94,3808.2731292,NA,NA,NA,NA,NA,NA,NA,"no"
"SXM","Sint Maarten",NA,NA,NA,NA,NA,32770.149196,NA,NA,NA,NA,NA,NA,NA,"no"
"SYC","Seychelles",NA,NA,NA,NA,NA,15546.041788,NA,NA,NA,NA,NA,NA,NA,"no"
"SYR","Syria",NA,NA,NA,NA,0.79,1203.18324818,0.2458,80,35,52,60,30,NA,"no"
"TCA","Turks & Caicos Islands",NA,NA,NA,NA,NA,24301.754923,NA,NA,NA,NA,NA,NA,NA,"no"
"TCD","Chad",NA,NA,NA,NA,0.93,787.077957,0.1237,NA,NA,NA,NA,NA,NA,"no"
"TGO","Togo",NA,NA,NA,NA,0.87,807.58793332,NA,NA,NA,NA,NA,NA,NA,"no"
"THA","Thailand",0.1573,NA,75.38,0.253626032,0.9725,6254.5071003,0.0732,64,19,34,64,67,45,"yes"
"TJK","Tajikistan",NA,NA,NA,NA,0.8,901.05023031,0.0219,NA,NA,NA,NA,NA,NA,"no"
"TKM","Turkmenistan",NA,NA,NA,NA,0.775,6160.1932822,0.0248,NA,NA,NA,NA,NA,NA,"no"
"TLS","Timor-Leste",NA,NA,NA,NA,NA,1272.49967501,NA,NA,NA,NA,NA,NA,NA,"no"
"TON","Tonga",NA,NA,NA,NA,NA,4308.4014828,NA,NA,NA,NA,NA,NA,NA,"no"
"TTO","Trinidad and Tobago",0.0989,0.164,68.79,-0.196318847,0.85,18911.318133,0.1491,47,25,58,55,17,80,"no"
"TUN","Tunisia",0.2227,-0.222,NA,NA,0.9175,3973.4101149,0.062,70,27,40,75,24,NA,"no"
"TUR","Turkey",0.1261,-0.06,77.25,0.287066572,0.8125,10789.6084,0.0503,66,46,45,85,35,49,"yes"
"TUV","Tuvalu",NA,NA,NA,NA,NA,4016.3176777,NA,NA,NA,NA,NA,NA,NA,"no"
"TWN","Taiwan",0.1067,-0.294,90.48,NA,0.475,NA,0.0671,58,40,45,69,87,49,"no"
"TZA","Tanzania",0.1532,NA,NA,NA,0.9575,970.58243405,0.1117,70,25,40,50,34,38,"no"
"UGA","Uganda",0.1209,NA,80.6,NA,0.955,818.60218878,0.19,NA,NA,NA,NA,NA,NA,"no"
"UKR","Ukraine",0.0986,0.053,56.88,-0.440472837,0.4675,3203.8750733,0.0557,92,55,27,95,51,14,"no"
"URY","Uruguay",0.0948,NA,NA,NA,0.4075,17472.523303,0.1412,61,60,38,98,28,53,"no"
"USA","United States",NA,0.182,40.88,-0.132549985,0.6575,57935.06411,0.2156,40,60,62,46,50,68,"yes"
"UZB","Uzbekistan",0.188,NA,61.77,NA,0.595,2311.2077108,0.0439,NA,NA,NA,NA,NA,NA,"no"
"VCT","St. Vincent & Grenadines",NA,NA,NA,NA,NA,7604.8032902,NA,NA,NA,NA,NA,NA,NA,"no"
"VEN","Venezuela",0.0891,0.226,62.01,NA,0.785,13023.0248875,0.0331,81,26,73,76,0,100,"no"
"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"VIR","U.S. Virgin Islands",NA,NA,NA,NA,NA,36421.73076,NA,NA,NA,NA,NA,NA,NA,"no"
"VNM","Viet Nam",0.2153,NA,85.72,0.388185296,0.37,2750.7933761,0.0654,70,30,40,30,47,35,"no"
"VUT","Vanuatu",NA,NA,NA,NA,NA,3034.9114583,NA,NA,NA,NA,NA,NA,NA,"no"
"WSM","Samoa",NA,NA,NA,NA,NA,4098.4758364,NA,NA,NA,NA,NA,NA,NA,"no"
"YEM","Yemen",0.2769,NA,NA,NA,0.9875,1020.59671373,0.0742,NA,NA,NA,NA,NA,NA,"no"
"ZAF","South Africa",0.0589,NA,73.22,NA,0.845,6832.1726374,0.1105,49,23,63,49,18,63,"yes"
"ZMB","Zambia",0.1132,NA,87.39,NA,0.945,1455.60825027,0.204,60,35,40,50,30,42,"no"
"ZWE","Zimbabwe",0.1139,NA,74.51,NA,0.8975,1693.8584925,0.1341,NA,NA,NA,NA,NA,NA,"no"
NA,"Serbia and Montenegro",0.1234,NA,NA,NA,0.8475,NA,0.1539,75,37,24,70,32,41,"no"
