Variable,Description,Values
self_image_circle,Report of which circle size represents how large or small the participant feels about themselves.,1 = small; 7 = large
self_image,Report of which stick figure size best describes themselves.,1 = small; 7 = large
ls_1,In most ways my life is close to my ideal.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
ls_2,The conditions of my life are excellent.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
ls_3,I am satisfied with my life.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
ls_4,So far I have gotten the important things I want in life.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
ls_5,"If I could live my life over, I would change almost nothing.","1 = ""strongly disagree""; 7 = ""strongly agree"""
ladder,Report of what ladder rung represents how good the participant sees their life as.,"0 = worst, 10 = best"
gratitude_1,I have so much in life to be thankful for.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_2,"If I had to list everything that I felt grateful for, it would be a very long list.","1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_3,"When I look at the world, I don't see much to be grateful for. (reverse coded)","1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_4,I am grateful to a wide variety of people.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_5,"As I get older, I find myself more able to appreciate the people, events, and situations that have been part of my life history.","1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_6,Long amounts of time can go by before I feel grateful to something or someone. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_frequency_1,"Thanked someone you didn’t know who did a small favor for you in public (for example, someone who opened a door for you).","0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_2,"Expressed appreciation to a service worker (for example, someone who works in a restaurant or a grocery store).","0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_3,Tried to return a favor to someone who did something nice for you.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_4,Let your family and friends know that you appreciate them.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_5,Helped someone because they had helped you in the past.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_6,Made a point to not forget after someone had helped you.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_7,Helped a coworker with a task because they had helped you before.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_8,Complimented a friend who had done something nice for you.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_9,Told other people about a nice thing that someone else did for you.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
color_task_red_6,"Report of how ""red"" the displayed color is",0 = not at all; 5 = moderately; 10 = extremely
color_task_yellow_1,"Report of how ""yellow"" the displayed color is",0 = not at all; 5 = moderately; 10 = extremely
color_task_blue_1,"Report of how ""blue"" the displayed color is",0 = not at all; 5 = moderately; 10 = extremely
religion_1,How important is religion in your life?,"1 = Very important
2 = Rather important
3 = Not very important
4 = Not at all important"
religion_2,Are you a member of a church or a religious organization?,"1 = Not a member
2 = Inactive member
3 = Active member"
religion_3,"How much confidence do you have in organized religions,churches, and religious organizations?","1 = A great deal
2 = Quite a lot
3 = Not very much
4 = None at all"
religion_4,"Apart from weddings and funerals, about how often do you attend religious services these days?","1 = More than once a week
2 = Once a week
3 = Once a month
4 = Only on special holy days
5 = Once a year
6 = Less often
7 = Never, practically never"
religion_5,"Apart from weddings and funerals,about how often do you pray?","1 = Several times a day
2 = Once a day
3 = Several times a week
4 = Only when attending religious services
5 = Once on special holy days
6 = Once a year
7 = Less often
8 = Never, practically never"
religion_6,"Independently of whether you attend religious services or not, which would you say you are?","1 = A religious person
2 = Not a religious person
3 = An atheist"
religion_7,Do you believe in God?,1 = Yes; 2 = No
religion_8,Do you believe in hell?,1 = Yes; 2 = No
religion_9,How important is God in your life?,1 = Not at all important; 10 = Very important
religion_10,"Do you belong to anyparticular religion, religious denomination,or religious sect?",1 = Yes; 2 = No
religion_11,"Please write its name here (If you answered ""no"", please put ""not applicable""):",
belief_in_god,Which of these statements comes closest to describing your own belief in God?,"1 = I currently believe in God
2 = I formerly believed in God, but no longer believe in God.
3 = I have never believed in God"
religious_grat_1,I have so much in life to be thankful to God for.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_2,"If I had to list everything that I felt grateful to God for, it would be a very long list.","1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_3,"When I look at the world, I don’t see much to be grateful to God for. (reverse coded)","1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_4,I am grateful to God.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_5,As I get older I find myself more able to appreciate that God has been part of my life history.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_6,Long amounts of time can go by before I feel grateful to God. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
responsibilism_1,Children should be taught to place duty before pleasure.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
responsibilism_2,"You’re working in a company for two years, and one day you meet a co-worker from a different department that you’ve never met before. You are sitting outside a meeting room waiting for the meeting to start, and the two of you start talking. The co-worker starts asking you if you’re married, if you have children, what your hobbies are. Then you remember what a friend of yours told you: “Be careful not to share your personal secrets with people you don’t know because they could use those secrets to hurt you.” Do you agree with this statement?","1 = ""strongly disagree""; 7 = ""strongly agree"""
responsibilism_3,Children should feel honored if their parents receive a distinguished award.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
responsibilism_4,We should keep our aging parents with us at home.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
responsibilism_5,"You are working in a company for two years, and one day you meet a co-worker from a different department that you’ve never met before. You’ve been working on a sales account that could be a big accomplishment. The co-worker asks about the account. You would feel comfortable telling this co-worker about the account. (reverse coded)","1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_1,They (the people around you) have many chances to get to know other people.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_2,It is common for these people to have a conversation with someone they have never met before.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_3,"They are able to choose, according to their own preferences, the people whom they interact with in their daily life.","1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_4,"If they did not like their current groups, they could leave for better ones.","1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_5,They are able to choose the groups and organizations they belong to. ,"1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_6,It is easy for them to meet new people. ,"1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_7,It is uncommon for these people to have a conversation with people they have never met before. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_8,It is often the case that they cannot freely choose who they associate with. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_9,"Even if these people were not completely satisfied with the group they belonged to, they would usually stay with it anyway. (reverse coded)","1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_10,There are few opportunities for these people to form new friendships. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_11,"Even if these people were not satisfied with their current relationships, they would often have no choice but to stay with them. (reverse coded)","1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_12,"Even though they might rather leave, these people often have no choice but to stay in groups they don’t like. (reverse coded)","1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_1,I like to make people feel bad when something good has happened to them.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_2,I wouldn’t want to trade places with anyone.  (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_3,I feel angry when others succeed. ,"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_4,It brings me happiness to see my friends succeed. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_5,I’m content with what I’ve got.  (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_6,I am happy when others succeed even when I don’t.  (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_7,It pains me to think of the success of my friends.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_8,I would rather see someone I don’t know win a lottery than to see an acquaintance win.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
me_attention,Attention check and creates an embedded variable for the WTR slider questions,
inequality_1,Incomes should be made more equal : We need larger income differences as incentives for individual effort,1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right
inequality_2,Competition is good : Competition is harmful,1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right
inequality_3,"In the long run, hard work usually brings a better life : Hard work doesn’t bring success",1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right
inequality_4,People can only get rich at the expense of others : Wealth can grow so there’s enough for everyone,1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right
gov_confidence_1,How much confidence do you have in your government?,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = Not at all
gov_leaders_1,"In my country, there are plenty of opportunities to improve one's economic situations.","1 = ""strongly disagree""; 7 = ""strongly agree"""
gov_leaders_2,Children in my country have a fair chance of moving up the economic ladder.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
gov_leaders_3,Leaders in my country take good care of our citizens.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
gov_leaders_4,Leaders in my country are competent and charismatic.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
gov_leaders_5,Leaders in my country inspire us.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
gov_leaders_6,Leaders in my country protect us when we are in a difficult situation.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
meals_attention,Attention check,4 (Correct answer)
sex,Participant's gender identity,"1 = Male
2 = Female
3 = Other
4 = Prefer not to answer"
age,What is your age in years?,
education,How many years of formal education do you have?,
elementary,How many times did you move between the ages of 5-10?,0 - 5+
middle,How many times did you move between the ages of 11-14?,0 - 5+
high,How many times did you move between the ages of 15-18?,0 - 5+
social_class,How would you rate your social class?,"1 = lower/working
2 = lower middle
3 = middle
4 = upper middle
5 = upper
6 = prefer not "
grow_up,"Where did you grow up? (If you grew up in multiple places, please answer for the place you spent the longest time)","1 = Small town
2 = Suburb of medium sized city
3 = Medium sized city
4 = Suburb of a large sized city
5 = Large city "
marital_status,Which of the following best describes your current marital status?,"1 = Never married
2 = Married/In a domestic partnership
3 = Widowed
4 = Divorced
5 = Other "
attention_check,How much attention did you pay to this study?,"1 = Almost none
2 = Very little
3 = Some
4 = A lot
5 = Almost all "
goal_check,What do you think this study was about?,
hypothesis_check,What hypothesis/hypotheses do you think we were testing in study?,
intervention_check,"Before participating in our study today, had you ever taken part in an activity (for example, keeping a gratitude journal) designed to make you feel more grateful?","1 = Yes
2 = No "
intervention_check_2,Do you think it worked?,"1 = Yes
2 = No "
intervention_check_3,"In general, do you think activities like keeping a gratitude journal help people feel happier and more satisfied with life?<br>","1 = Yes
2 = No 
3 = Not sure"
ai,AI check,"1 = Yes
2 = No "
copy_paste,Copy paste check,"1 = Yes
2 = No "
copy_paste_yes,Elaborating on AI and copy paste check,
feedback,Feedback on the survey,
lab,Site identification,"USA_01
BRA_01
CHN_01
COL_01
CYP_01
DNK_01
GHA_01
IND_01
KAZ_01
KAZ_01
KOR_01
MKD_01
MYS_01
MYS_01
NGA_01
NGA_02
NOR_01
PHL_01
POL_01
SWE_01
THA_01
JPN_01
TUR_01
TUR_01
ARE_01"
modality,How participants are recorded,Online/In-person
incentive,How participants are getting paid,Paid/Credit
IRB,Link to consent form,
redir,Link to redirect link,
deb,Link to debriefing page,
condition,Name of the condition assigned,"measure
events
int.events
list
letter
text
hk.list
sub
god.letter"
condition_type,Type of the condition assigned,"control
intervention"
worktimeArray,An ordered array of the total time spent both on and off task,
tasktime,How much time a participant spent on the survey,
WorktimeArray,An ordered array of the total time spent both on and off task,
offTask,An ordered array of the time spent off task; each item in the array represents a separate time the subjects’ cursor left the work space and the amount of time the subject spent off task,
onTask,An ordered array of the time spent on task; each item in the array represents a separate time the subjects’ cursor entered the workspace and the amount of time the subject spent within the task window,
totalOffTask,The total amount of time spent off task,
totalOnTask,The total amount of time on task (without subtracting time spent off task),
perPagePT,Page breaks between pages,
pageNo,How many pages the participant saw,
