Variable,Description,Values
gratitude_2,"If I had to list everything that I felt grateful for, it would be a very long list.","1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_3,"When I look at the world, I don't see much to be grateful for. (reverse coded)","1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_4,I am grateful to a wide variety of people.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_5,"As I get older, I find myself more able to appreciate the people, events, and situations that have been part of my life history.","1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_6,Long amounts of time can go by before I feel grateful to something or someone. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
gratitude_DO_gratitude_1,Qualtrics randomization variable,
gratitude_DO_gratitude_2,Qualtrics randomization variable,
gratitude_DO_gratitude_3,Qualtrics randomization variable,
gratitude_DO_gratitude_4,Qualtrics randomization variable,
gratitude_DO_gratitude_5,Qualtrics randomization variable,
gratitude_DO_gratitude_6,Qualtrics randomization variable,
gratitude_frequency_1,"Thanked someone you didn’t know who did a small favor for you in public (for example, someone who opened a door for you).","0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_2,"Expressed appreciation to a service worker (for example, someone who works in a restaurant or a grocery store).","0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_3,Tried to return a favor to someone who did something nice for you.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_4,Let your family and friends know that you appreciate them.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_5,Helped someone because they had helped you in the past.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_6,Made a point to not forget after someone had helped you.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_7,Helped a coworker with a task because they had helped you before.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_8,Complimented a friend who had done something nice for you.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_9,Told other people about a nice thing that someone else did for you.,"0 = Did not perform the behavior
1 = Performed the behavior once
2 = Performed the behavior more than once"
gratitude_frequency_DO_gratitude_frequency_1,Qualtrics randomization variable,
gratitude_frequency_DO_gratitude_frequency_2,Qualtrics randomization variable,
gratitude_frequency_DO_gratitude_frequency_3,Qualtrics randomization variable,
gratitude_frequency_DO_gratitude_frequency_4,Qualtrics randomization variable,
gratitude_frequency_DO_gratitude_frequency_5,Qualtrics randomization variable,
gratitude_frequency_DO_gratitude_frequency_6,Qualtrics randomization variable,
gratitude_frequency_DO_gratitude_frequency_7,Qualtrics randomization variable,
gratitude_frequency_DO_gratitude_frequency_8,Qualtrics randomization variable,
gratitude_frequency_DO_gratitude_frequency_9,Qualtrics randomization variable,
color_task_red_6,"Report of how ""red"" the displayed color is",0 = not at all; 5 = moderately; 10 = extremely
color_task_yellow_1,"Report of how ""yellow"" the displayed color is",0 = not at all; 5 = moderately; 10 = extremely
color_task_blue_1,"Report of how ""blue"" the displayed color is",0 = not at all; 5 = moderately; 10 = extremely
religion_1,How important is religion in your life?,"1 = Very important
2 = Rather important
3 = Not very important
4 = Not at all important"
religion_2,Are you a member of a church or a religious organization?,"1 = Not a member
2 = Inactive member
3 = Active member"
religion_3,"How much confidence do you have in organized religions,churches, and religious organizations?","1 = A great deal
2 = Quite a lot
3 = Not very much
4 = None at all"
religion_4,"Apart from weddings and funerals, about how often do you attend religious services these days?","1 = More than once a week
2 = Once a week
3 = Once a month
4 = Only on special holy days
5 = Once a year
6 = Less often
7 = Never, practically never"
religion_5,"Apart from weddings and funerals,about how often do you pray?","1 = Several times a day
2 = Once a day
3 = Several times a week
4 = Only when attending religious services
5 = Once on special holy days
6 = Once a year
7 = Less often
8 = Never, practically never"
religion_6,"Independently of whether you attend religious services or not, which would you say you are?","1 = A religious person
2 = Not a religious person
3 = An atheist"
religion_7,Do you believe in God?,1 = Yes; 2 = No
religion_8,Do you believe in hell?,1 = Yes; 2 = No
religion_9,How important is God in your life?,1 = Not at all important; 10 = Very important
religion_10,"Do you belong to anyparticular religion, religious denomination,or religious sect?",1 = Yes; 2 = No
religion_11,"Please write its name here (If you answered ""no"", please put ""not applicable""):",
belief_in_god,Which of these statements comes closest to describing your own belief in God?,"1 = I currently believe in God
2 = I formerly believed in God, but no longer believe in God.
3 = I have never believed in God"
religious_grat_1,I have so much in life to be thankful to God for.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_2,"If I had to list everything that I felt grateful to God for, it would be a very long list.","1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_3,"When I look at the world, I don’t see much to be grateful to God for. (reverse coded)","1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_4,I am grateful to God.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_5,As I get older I find myself more able to appreciate that God has been part of my life history.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_6,Long amounts of time can go by before I feel grateful to God. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
religious_grat_DO_religious_grat_1,Qualtrics randomization variable,
religious_grat_DO_religious_grat_2,Qualtrics randomization variable,
religious_grat_DO_religious_grat_3,Qualtrics randomization variable,
religious_grat_DO_religious_grat_4,Qualtrics randomization variable,
religious_grat_DO_religious_grat_5,Qualtrics randomization variable,
religious_grat_DO_religious_grat_6,Qualtrics randomization variable,
responsibilism_1,Children should be taught to place duty before pleasure.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
responsibilism_2,"You’re working in a company for two years, and one day you meet a co-worker from a different department that you’ve never met before. You are sitting outside a meeting room waiting for the meeting to start, and the two of you start talking. The co-worker starts asking you if you’re married, if you have children, what your hobbies are. Then you remember what a friend of yours told you: “Be careful not to share your personal secrets with people you don’t know because they could use those secrets to hurt you.” Do you agree with this statement?","1 = ""strongly disagree""; 7 = ""strongly agree"""
responsibilism_3,Children should feel honored if their parents receive a distinguished award.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
responsibilism_4,We should keep our aging parents with us at home.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
responsibilism_5,"You are working in a company for two years, and one day you meet a co-worker from a different department that you’ve never met before. You’ve been working on a sales account that could be a big accomplishment. The co-worker asks about the account. You would feel comfortable telling this co-worker about the account. (reverse coded)","1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_1,They (the people around you) have many chances to get to know other people.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_2,It is common for these people to have a conversation with someone they have never met before.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_3,"They are able to choose, according to their own preferences, the people whom they interact with in their daily life.","1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_4,"If they did not like their current groups, they could leave for better ones.","1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_5,They are able to choose the groups and organizations they belong to. ,"1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_6,It is easy for them to meet new people. ,"1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_7,It is uncommon for these people to have a conversation with people they have never met before. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_8,It is often the case that they cannot freely choose who they associate with. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_9,"Even if these people were not completely satisfied with the group they belonged to, they would usually stay with it anyway. (reverse coded)","1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_10,There are few opportunities for these people to form new friendships. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_11,"Even if these people were not satisfied with their current relationships, they would often have no choice but to stay with them. (reverse coded)","1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_12,"Even though they might rather leave, these people often have no choice but to stay in groups they don’t like. (reverse coded)","1 = ""strongly disagree""; 7 = ""strongly agree"""
relational_mobility_DO_relational_mobility_1,Qualtrics randomization variable,
relational_mobility_DO_relational_mobility_2,Qualtrics randomization variable,
relational_mobility_DO_relational_mobility_3,Qualtrics randomization variable,
relational_mobility_DO_relational_mobility_4,Qualtrics randomization variable,
relational_mobility_DO_relational_mobility_5,Qualtrics randomization variable,
relational_mobility_DO_relational_mobility_6,Qualtrics randomization variable,
relational_mobility_DO_relational_mobility_7,Qualtrics randomization variable,
relational_mobility_DO_relational_mobility_8,Qualtrics randomization variable,
relational_mobility_DO_relational_mobility_9,Qualtrics randomization variable,
relational_mobility_DO_relational_mobility_10,Qualtrics randomization variable,
relational_mobility_DO_relational_mobility_11,Qualtrics randomization variable,
relational_mobility_DO_relational_mobility_12,Qualtrics randomization variable,
envy_1,I like to make people feel bad when something good has happened to them.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_2,I wouldn’t want to trade places with anyone.  (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_3,I feel angry when others succeed. ,"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_4,It brings me happiness to see my friends succeed. (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_5,I’m content with what I’ve got.  (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_6,I am happy when others succeed even when I don’t.  (reverse coded),"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_7,It pains me to think of the success of my friends.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_8,I would rather see someone I don’t know win a lottery than to see an acquaintance win.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
envy_DO_envy_1,Qualtrics randomization variable,
envy_DO_envy_2,Qualtrics randomization variable,
envy_DO_envy_3,Qualtrics randomization variable,
envy_DO_envy_4,Qualtrics randomization variable,
envy_DO_envy_5,Qualtrics randomization variable,
envy_DO_envy_6,Qualtrics randomization variable,
envy_DO_envy_7,Qualtrics randomization variable,
envy_DO_envy_8,Qualtrics randomization variable,
me_attention,Attention check and creates an embedded variable for the WTR slider questions,
inequality_1,Incomes should be made more equal : We need larger income differences as incentives for individual effort,1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right
inequality_2,Competition is good : Competition is harmful,1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right
inequality_3,"In the long run, hard work usually brings a better life : Hard work doesn’t bring success",1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right
inequality_4,People can only get rich at the expense of others : Wealth can grow so there’s enough for everyone,1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right
inequality_DO_inequality_1,Qualtrics randomization variable,
inequality_DO_inequality_2,Qualtrics randomization variable,
inequality_DO_inequality_3,Qualtrics randomization variable,
inequality_DO_inequality_4,Qualtrics randomization variable,
gov_confidence_1,How much confidence do you have in your government?,"1 = A great deal
2 = Quite a lot
3 = Not very much
4 = Not at all"
gov_leaders_1,"In my country, there are plenty of opportunities to improve one's economic situations.","1 = ""strongly disagree""; 7 = ""strongly agree"""
gov_leaders_2,Children in my country have a fair chance of moving up the economic ladder.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
gov_leaders_3,Leaders in my country take good care of our citizens.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
gov_leaders_4,Leaders in my country are competent and charismatic.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
gov_leaders_5,Leaders in my country inspire us.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
gov_leaders_6,Leaders in my country protect us when we are in a difficult situation.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
gov_leaders_DO_gov_leaders_1,Qualtrics randomization variable,
gov_leaders_DO_gov_leaders_2,Qualtrics randomization variable,
gov_leaders_DO_gov_leaders_3,Qualtrics randomization variable,
gov_leaders_DO_gov_leaders_4,Qualtrics randomization variable,
gov_leaders_DO_gov_leaders_5,Qualtrics randomization variable,
gov_leaders_DO_gov_leaders_6,Qualtrics randomization variable,
stim_lef_sma_mkn,Visual judgement of whether the black line is the same length as the red line with no info (small discrepancy),
stim_lef_lar_mkn,Visual judgement of whether the black line is the same length as the red line with no info (large discrepancy),
stim_rig_sma_mkn,Visual judgement of whether the black line is the same length as the red line with no info (small discrepancy),
stim_rig_lar_mkn,Visual judgement of whether the black line is the same length as the red line with no info (large discrepancy),
stim_rig_lar_mky,Visual judgement of whether the black line is the same length as the red line with conform/demand info (large discrepancy),7 is identified as the correct answer by the community or researcher
stim_rig_sma_mky,Visual judgement of whether the black line is the same length as the red line with conform/demand info (small discrepancy),7 is identified as the correct answer by the community or researcher
stim_lef_lar_mky,Visual judgement of whether the black line is the same length as the red line with conform/demand info (large discrepancy),7 is identified as the correct answer by the community or researcher
stim_lef_sma_mky,Visual judgement of whether the black line is the same length as the red line with conform/demand info (small discrepancy),7 is identified as the correct answer by the community or researcher
prq_g_1,Please rate the extent to which you view your role as a subject in a psychology experiment as being similar to the following roles in society: Giving anonymously to charity,1 = maximally dissimilar; 10 = maximally similar
prq_g_2,Volunteering to pick up trash in a nearby community,1 = maximally dissimilar; 10 = maximally similar
prq_o_1,"Waiting at a stop light even though there are no cars, people, or cameras around",1 = maximally dissimilar; 10 = maximally similar
prq_o_2,Following instructions to turn off your phone at a show even though you do not believe that others would hear or see it,1 = maximally dissimilar; 10 = maximally similar
prq_a_1,Trying to make a good impression when you meet a new person,1 = maximally dissimilar; 10 = maximally similar
prq_a_2,Being interviewed for a job,1 = maximally dissimilar; 10 = maximally similar
prq_p_1,Spending the evening with a good friend,1 = maximally dissimilar; 10 = maximally similar
prq_p_2,Taking a relaxing walk through a park,1 = maximally dissimilar; 10 = maximally similar
prq_n_1,Getting into an argument with a colleague or classmate,1 = maximally dissimilar; 10 = maximally similar
prq_n_2,Walking outside during a storm,1 = maximally dissimilar; 10 = maximally similar
prq_w_1,Working extra hours to earn more money,1 = maximally dissimilar; 10 = maximally similar
prq_w_2,Completing an assignment to get a good grade in a class,1 = maximally dissimilar; 10 = maximally similar
prq_DO_prq_g_1,Qualtrics randomization variable,
prq_DO_prq_g_2,Qualtrics randomization variable,
prq_DO_prq_o_1,Qualtrics randomization variable,
prq_DO_prq_o_2,Qualtrics randomization variable,
prq_DO_prq_a_1,Qualtrics randomization variable,
prq_DO_prq_a_2,Qualtrics randomization variable,
prq_DO_prq_p_1,Qualtrics randomization variable,
prq_DO_prq_p_2,Qualtrics randomization variable,
prq_DO_prq_n_1,Qualtrics randomization variable,
prq_DO_prq_n_2,Qualtrics randomization variable,
prq_DO_prq_w_1,Qualtrics randomization variable,
prq_DO_prq_w_2,Qualtrics randomization variable,
empathy_family,Participants are asked to input the name of a close relative of the same age.,
empathy_kinType,What is your relationship with the close relative?,"1 = Cousin
2 = Sibling
3 = Aunt or uncle
4 = Parent
5 = Grandparent
6 = Other"
empathy_kinType_6_TEXT,"Text input for ""Other""",
empathy_friend,Participants are asked to input the name of a friend.,
empathy_stranger,Participants are asked to input the name of a stranger.,
empathy_email_9,"How likely is it that you'll call, e-mail, or text [Name] over the next week?",0 = I am completely certain that I will NOT contanct this person in the next week; 100 = I am completely certain I WILL contact this person in the next week
empathy_discussion_8,How likely is it that you'll discuss something important or interesting with [NAME] over the next month?,0 = I am completely certain that I will NOT discuss something important or interesting with this person in the next month; 100 = I am completely certain that I WILL discuss something important or interesting with this person in the next month
empathy_time_8,How likely is it that you'll spend time with [NAME] over the next year?,0 = I am completely certain that I will NOT spend time with this person in the next year; 100 = I am completely certain that I WILL spend time with this person in the next year
empathy_circle,"Please indicate which picture below best describes your relationship with [NAME]. For the picture, you are the left circle and [NAME[ is the right circle.",1 = No overlap; 7 = A lot of overlap
empathy_1_compassionate,"Report of extent that participant experienced feeling ""compassionate"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_distressed,"Report of extent that participant experienced feeling ""distressed"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_suprised,"Report of extent that participant experienced feeling ""suprised"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_sympathetic,"Report of extent that participant experienced feeling ""sympathetic"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_upset,"Report of extent that participant experienced feeling ""upset"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_sad,"Report of extent that participant experienced feeling ""sad"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_pity,"Report of extent that participant experienced feeling ""pity"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_confused,"Report of extent that participant experienced feeling ""confused"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_emotions_DO_empathy_1_compassionate,Qualtrics randomization variable,
empathy_1_emotions_DO_empathy_1_distressed,Qualtrics randomization variable,
empathy_1_emotions_DO_empathy_1_suprised,Qualtrics randomization variable,
empathy_1_emotions_DO_empathy_1_sympathetic,Qualtrics randomization variable,
empathy_1_emotions_DO_empathy_1_upset,Qualtrics randomization variable,
empathy_1_emotions_DO_empathy_1_sad,Qualtrics randomization variable,
empathy_1_emotions_DO_empathy_1_pity,Qualtrics randomization variable,
empathy_1_emotions_DO_empathy_1_confused,Qualtrics randomization variable,
empathy_1_help,How much help would you be willing to provide [NAME] in this situation (finding their dog)?,"1 = No help
2 = Search for a few minutes
3 = Search for an hour
4 = Search for two hours
5 = Search for an entire afternoon
6 = Cancel an afternoon of work or school to search
7 = Cancel an afternoon of work or school to search and ask others to do the same"
empathy_2_compassionate,"Report of extent that participant experienced feeling ""compassionate"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_distressed,"Report of extent that participant experienced feeling ""distressed"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_suprised,"Report of extent that participant experienced feeling ""suprised"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_sympathetic,"Report of extent that participant experienced feeling ""sympathetic"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_upset,"Report of extent that participant experienced feeling ""upset"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_sad,"Report of extent that participant experienced feeling ""sad"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_pity,"Report of extent that participant experienced feeling ""pity"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_confused,"Report of extent that participant experienced feeling ""confused"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_emotions_DO_empathy_2_compassionate,Qualtrics randomization variable,
empathy_2_emotions_DO_empathy_2_distressed,Qualtrics randomization variable,
empathy_2_emotions_DO_empathy_2_suprised,Qualtrics randomization variable,
empathy_2_emotions_DO_empathy_2_sympathetic,Qualtrics randomization variable,
empathy_2_emotions_DO_empathy_2_upset,Qualtrics randomization variable,
empathy_2_emotions_DO_empathy_2_sad,Qualtrics randomization variable,
empathy_2_emotions_DO_empathy_2_pity,Qualtrics randomization variable,
empathy_2_emotions_DO_empathy_2_confused,Qualtrics randomization variable,
empathy_2_help,How much help would you be willing to provide [NAME] in this situation (getting evicted)?,"1 = No help
2 = Send them information about available apartments
3 = Help them find a new place to live by visiting apartments for a few hours
4 = Offer to have them come stay with you for a couple of days (provided you have space)
5 = Offer to have them come stay with you for a week (provided you have space)
6 = Offer to have them come stay with you until they find a new place (provided you have space)
7 = Offer to have them come stay with you rent-free (provided you have space)"
empathy_3_compassionate,"Report of extent that participant experienced feeling ""compassionate"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_distressed,"Report of extent that participant experienced feeling ""distressed"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_suprised,"Report of extent that participant experienced feeling ""suprised"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_sympathetic,"Report of extent that participant experienced feeling ""sympathetic"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_upset,"Report of extent that participant experienced feeling ""upset"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_sad,"Report of extent that participant experienced feeling ""sad"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_pity,"Report of extent that participant experienced feeling ""pity"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_confused,"Report of extent that participant experienced feeling ""confused"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_emotions_DO_empathy_3_compassionate,Qualtrics randomization variable,
