"","Progress","Duration..in.seconds.","ResponseId","consent","condition","control_events","control_interesting","grat_list","grat_letter","grat_text","grat_hk_list","grat_sing_sub","grat_god_letter","meals_attention","attention_check","goal_check","hypothesis_check","intervention_check","intervention_check_2","intervention_check_3","ai","copy_paste","copy_paste_yes","feedback","lab"
"11",100,1483,"R_7ob1eUberXFamTT",1,"letter","","","","I don't know where to start with this letter. There have been so many things that you have done for me over the years. I am so grateful that you have been placed into my life. You have supported me in so many ways, giving me rides places, sharing food with me, helping me to learn the ropes in various work environments. To sharing our children together. I am so blessed to have you as my best friend but more like my sister than anything else. Again thank you for every thing.","","","","",4,5,"values towards others","How relationships effect our live",2,"",1,2,2,"","","USA_02c"
"12",100,1187,"R_1TYP6E9olNHxz9x",1,"text","","","","","Blake, thank you for always being there for me.  I know we don't hang out the most but every time we talk about our issues together you always seem to listen more than anyone else.  It's very comforting to me because I feel you value my opinion more than most people.  All these late nights of us talking makes me glad to have a friend like you.  I know I always tell you, but I still want you to know that I am in your corner through everything.  Love you buddy.","","","",4,5,"Jealousy on friends and family.  How you want these people to perceive you.  Who and what your siblings are to you and a scale of how much compassion you have to people in your life.","If you are surrounded by great friends and family then you generally have a bigger more optimistic outlook on your life and what is around you.",2,"",2,2,2,"","No.","USA_02c"
"13",100,1161,"R_3nABum9u58CUX9Z",1,"measure","","","","","","","","",4,5,"Interesting ","Relationships and emotional feelings",2,"",3,2,2,"","None","USA_02c"
"14",100,1360,"R_3oHFUyMTXI5hE3b",1,"god.letter","","","","","","","","Dear God,

Thank you for everything. Your love and guidance have brought light to my darkest days. I am grateful for the gifts of life, love, and opportunities you have bestowed upon me. With heartfelt appreciation,

",4,5,"Surveying people about their religion and their emotions","",2,"",1,2,2,"","","USA_02c"
"15",100,2478,"R_1DOVU17yPP7iobL",1,"letter","","","","Dear Dad,

I am so grateful for everything you've done for me. You have done so much to mold me into who I am today. Father's Day is coming up, and I want you to know how much I appreciate you. You've helped me when I've had problems and guided me in the right direction when I'm still deciding what decision to make. Your rationality is something I heavily relate to, and I appreciate your views on certain topics even when we disagree.

Even the simplest things like helping me study for exams and working through difficult math problems with me when I was a student I still think back to. I think about all of the things you taught me and how well you've prepared me for my future, and I am so grateful. Thank you for everything. 

Love, Bailey","","","","",4,5,"A lot to do with personal feelings and opinion","how personal feelings compare to decision making ",1,"Yes",1,2,2,"","","USA_02c"
"16",100,1946,"R_1OPF6M73cKbqhmN",1,"list","","","Larger: Grateful to be able to live in a country that allows for certain self expressions. Having my parents still alive and I can interact with them. Finding a community of friends in the area. 

Smaller: Being able to have a crush on a girl at the gym which has motivated me to go often as she does. ","","","","","",4,4,"Understanding people's perception with life, religion and situations to see how they would react to helping someone that is familiar but not completely known.","That a person that feels rooted in their community is more likely to stick themselves out to help nearly a complete stranger if they are in a crisis,",1,"Somewhat.",1,2,2,"","","USA_02c"
"17",100,1731,"R_6GvkhBORhCpD4OL",1,"events","1. My child completed her last day of first grade that was an emotional first for me. 2. This morning I found some overdue bills in my husbands car and that was upsetting. 3. Upon speaking with my husband, he had already settled the accounts a few days ago and that gave me relief and a sense of trust. 4. I was not charged the full amount for my usual coffee because the barista messed up and I felt gracious for the discount. 5. I had extra time last night to clean all of the restrooms and it took a load off of me for today. ","","","","","","","",4,5,"The correlation of beliefs and how it reflects in different scenarios.","To see if the way one views life is consistent or dependent on situations and people.",2,"",1,2,2,"","n/a","USA_02c"
"18",100,1143,"R_1X4E2ugsqD7xveK",1,"int.events","","Opening up a third sober living home with my husband, it was challenging, but really made me think about how grateful I am to be a part of something bigger. I learned how to make my own bread, It gave me a great feeling of accomplishment. I also was able to implement a cleaning routine to take better care of my home that seems to work with my brain and how I'm able to extend my limited energy, it gave me hope for becoming a better partner, overall. I learned about atrocities in Gaza, it affected me greatly to learn about children being harmed and caused me to hold my child closer knowing others didn't have that luxury. I stopped drinking soda, I never thought I would, but I feel better overall incorporating more water into my lifestyle. ","","","","","","",4,5,"How religion and societal pressure affects decisions.","Whether or not being religious changes perceptions or whether or not knowing what others choose would affect your own individual ideas.",2,"",1,2,2,"","","USA_02c"
"19",100,6171,"R_3QFdRTpK7nuVyBR",1,"measure","","","","","","","","",4,5,"Honestly no idea, it seemed all over the place ","No idea",2,"",1,2,2,"","None","USA_02c"
"20",100,597,"R_6dbqN8fB8oaFmoe",1,"hk.list","","","","","","i am grateful for the place that i live, my dog, and my partner","","",4,4,"empathy","how much someone is willing to give depending on their age and social status",1,"yes",1,2,2,"","","USA_02c"
"21",100,770,"R_3weQ1atsMwd5TsR",1,"sub","","","","","","","1. My house
2. My pets
3. My family
4. My job
5. My partner
If I did not have my partner, I would not feel as supported at home. I would not have my confidant. Although I know that I am capable of being single, my life has been enhanced by my partner, and I am glad that they are in it.","",4,5,"Perceptions of a variety of things based on demographics.","People of different demographics view things differently",2,"",1,2,2,"","","USA_02c"
"22",100,758,"R_1w1wiwzBPkE9PzP",1,"int.events","","I went to a consumer testing panel and ran into my old boss doing the same panel. I made air popped popcorn with new popcorn and didn't realize using fresh kernels would necessitate two bowls. I took a bus instead of the train. I reached out to an old friend and have plans for the future. I took a melatonin and had a stress dream.","","","","","","",4,5,"Not sure","Not sure",1,"Yes, especially if I was in a funk.",1,2,2,"","","USA_02c"
"23",100,776,"R_3fIQz5e8pIqrQfZ",1,"hk.list","","","","","","I am grateful for my house, i gave money and sweat equity for it and i could do more by investing in maintaince and upgrades ","","",4,5,"not sure","not sure",1,"a little",3,2,2,"","","USA_02c"
"24",100,735,"R_1UV5WilqeYX3n6p",1,"events","My friend bought me a coffee
I went to PT
I went to a pool party
I went to work
My friend and I drove to work together.","","","","","","","",4,5,"How much you would sacrifice for your sibling","I’m not sure",1,"I don’t know",3,2,2,"","I couldn’t move the slider so I just left it where it was","USA_02c"
"25",100,690,"R_1fTUNAQ8AcwMIea",1,"god.letter","","","","","","","","Thank you, universe for giving me such a wonderful life. While I don't necessarily believe in a singular entity that rules over all of us, I believe we are truly connected by our experiences and the past. The universe has a singular consciousness that is shared by us all, and I have been the beneficiary of a lot of positive moments in my life",4,5,"Whether gratitude exercises influence self-opinion","N/A",1,"Yes",1,2,2,"","","USA_02c"
"26",100,835,"R_11XNcO2DMagVaEN",1,"letter","","","","Dear Kathy,

I wanted to write you a letter to thank you for everything you have done to help me with progressing in my career. All of the skills that I have learned over the years from working with you have made me a more valuable employee and have set me up for success in the future. By continuing to trust in my abilities, you have given me more opportunities to learn and build on my repertoire of skills, which I have been able to translate into success in the workplace. You trusting me and bringing me along with employment opportunities has given me a huge sense of self worth and has made my life a lot fuller. I know that I do not thank you enough for that, but wanted to change that.","","","","",4,5,"Not sure.","Not sure.",2,"",2,2,2,"","","USA_02c"
"27",100,844,"R_1Br1yZWrhObxhrg",1,"god.letter","","","","","","","","Thank you for all the guidance and blessings you have bestowed upon me. Your presence has brought me strength, hope, and peace in my life. I am deeply grateful for your support and the many ways you have helped me grow and thrive.",4,5,"Discussing social and emotional lives","About Myself",2,"",1,2,1,"To take notes from the survey","","USA_02c"
"28",100,821,"R_1wBHNydjt4XULDz",1,"measure","","","","","","","","",4,4,"current emotions, beliefs, and status","How do beliefs and status, relate to the current emotion you are feeling.",2,"",1,2,2,"","","USA_02c"
"29",100,868,"R_1GkytZqMRGAhS4r",1,"int.events","","Yesterday, I stumbled upon a rare book in a local bookstore that piqued my interest, sparking a newfound passion for vintage literature. Later, during my evening walk, I encountered a stray kitten and spent some time comforting and feeding it, leading to a heartwarming connection. While preparing dinner, I received an unexpected phone call from an old friend, reminiscing about shared memories and reigniting our friendship. These events, though seemingly insignificant, left a profound impact on my day, reminding me of life's unpredictable and beautiful moments.","","","","","","",4,5,"about beliefs","",2,"",1,2,2,"","","USA_02c"
"30",100,830,"R_60w5yC7SKuPImGY",1,"events","I think being on my period effects my mood with the mood swings and irritability I get
I don't get much sleep so that has negatively effected me too lately
I recently have gotten high earlier on weed last night to help me sleep
I started planning for my vacation this summer/fall to Canada
I tried to cook more too for my breakfast and dinner","","","","","","","",4,5,"Online emotions and beliefs ","I think to study people's emotions, different experiences as well was observed",1,"I think writing down things to speak to my therapist about that include being grateful for many things does help a bit",1,2,2,"","I think the study was fun as it is, I enjoyed it a lot","USA_02c"
"31",100,957,"R_1oArbHNMe03cfT7",1,"list","","","I'm grateful to have a supportive family who cares about and speaks positively of me. It was my birthday recently and they wished me well and said nice things. I also appreciate the work i'm putting towards my goals even though i make mistakes at times i keep pushing forward and i look forward to accomplishing them.","","","","","",4,5,"It was about perception","How people well people are able to observe",1,"Sometimes",1,2,2,"","","USA_02c"
"32",100,871,"R_5m2DsoSDrw9rvxf",1,"int.events","","The internet went out. This made it impossible to stream videos or play online games. I spent the evening doing other tasks. I figured it wouldn't last long but it did. ","","","","","","",4,5,"Character impressions","Personal perceptions",2,"",3,2,2,"","N/A","USA_02c"
"33",100,923,"R_7o7u0anQGcJ17Nz",1,"text","","","","","Thank you for always being such a great buddy, you really have always been there for me and that means the world. Love you!","","","",4,4,"How your perception of self impacts perception of the world ","that a lower self perception will result in a lower world perception",2,"",3,2,2,"","no","USA_02c"
"34",100,812,"R_71UQVzjf8IXo7Tz",1,"list","","","I am thankful that my husband was accepted for a new job. My friend was able to visit over memorial weekend, so I was grateful she drove to see me. My sick dog is finally feeling better. I ate a lot of delicious food this weekend after saving money for a while. The weather has been rainy so I haven't had to water the plants myself.","","","","","",4,4,"About religion and empathy","Whether religious and nonreligious people are empathetic and giving",1,"Sometimes",3,2,2,"","","USA_02c"
"35",100,865,"R_1V9m1E08WSbVmfp",1,"text","","","","","I just wanted to say thank you for everything you've done for me in the past year. I don't always explicitly tell you that I love and appreciate you, but you've really had an impact on me. You're a thoughtful and caring friend, and you motivate me to be more creative and most importantly you hold me accountable. Big hugs, lets hang out soon!","","","",4,5,"impact of gratitude","being grateful makes you happier",2,"",1,2,2,"","","USA_02c"
"36",100,904,"R_6LSua3jqabmUbtk",1,"letter","","","","Hi P! I just wanted you to know how much I appreciate your friendship. You are always there when I need to text a passing thought to you. And you respond in ways that make me feel heard. You are there for me when I am feeling anxious or depressed, and your empathy makes me feel better. You were there for me when I needed to talk about T, a most difficult time in my life. Thank you for being my friend and my ""sister"" through life for the last 20 years!","","","","",4,5,"gratitude","How does gratitude make you feel?",1,"yes!",1,2,2,"","","USA_02c"
"37",100,778,"R_7IO3mAtMeTzZuxz",1,"int.events","","My car broke down on the expressway.
I found 6 dollars on the side of the rode while walking. 
I found my neighbors missing cat. 
I celebrated my brother’s birthday on Monday.
I caught a scorpion in my living room.","","","","","","",4,5,"How participants view their current situation. Their emotions and feelings towards it.","How many people are content with their lives",1,"No",2,2,2,"","","USA_02c"
"38",100,1034,"R_3EshDQXWCVqotpi",1,"list","","","I'm thankful that I got to spend time with family on Saturday.
I'm thankful that I was able to attend an Honors banquet at my college last week.
I am thankful for my friendship with my college professor
I am thankful for what employment I do have even if it's not a hundred percent satisfying.
I am grateful that all five universities I applied to accepted me even though I have a hard decision to make.","","","","","",4,4,"Perceptions","If people take the easy way in solving a problem?",1,"Not really - didn't really retain the feeling nor make my day any better. At best it's just a way to put your feelings on paper and sort of purge.",2,2,2,"","","USA_02c"
"39",100,919,"R_57wiqx1ZvzzmN9n",1,"int.events","","1. I drank 3 bottles of Mike's Hard Lemonade
2. I did homework for 5 hours
3. I made ramen noodles for dinner
4. I played video games with my friends
5. I called my mom on the phone","","","","","","",4,4,"This study was to evaluate how I feel about other people and myself and what I would do in certain situations involving them.","Does your outlook on life affect how willing you are to help those close to you?",1,"Yes",1,2,2,"","This was a really nice survey! ","USA_02c"
"40",100,979,"R_3iEAr2sEQjVVODW",1,"god.letter","","","","","","","","To my Higher Power,

Thank you for getting me off of alcohol and giving me this gifted life. Thank you for the hardships I faced as a child to see the beauty of making a life you would want for me and my children. Thank you for flowers, for storms, for grass, for love and connection. Thank you for allowing me to live in the time I live in. Thank you for protecting me.",4,5,"how gratitude affects your views","If you start a test or day with gratitude how it affects the rest of your day. Also what upbringings experience the most gratitude?",1,"yes",1,2,2,"","","USA_02c"
"41",100,1041,"R_6e4MWpN1Hkdr2Wg",1,"events","Morning Walk with Dogs - I took Bibi and Leo for a walk in the morning. It was peaceful and helped clear my mind.

Breakfast - Had breakfast with my wife. We didn't talk much, but sharing the meal together felt nice.

Grocery Shopping - Went to the store to pick up some groceries. Bumped into an old neighbor and had a brief, friendly chat.

Reading - Spent a couple of hours reading a book on dog training. It gave me some new ideas to try with Bibi and Leo.

Phone Call from a Friend - A friend called in the evening. We talked about our plans for the summer and it cheered me up.






","","","","","","","",4,5,"life in general /","no clue /",2,"",2,2,2,"","not really /","USA_02c"
"42",100,907,"R_6ls2iIhuPfcQ1K7",1,"text","","","","","There is not one person who helps me. I 100 percent help myself","","","",4,5,"how i feel and a psychology experiment","What I thought about specific situations",1,"yes",1,2,2,"","","USA_02c"
"43",100,1048,"R_6CPRDNgQUrmoVju",1,"measure","","","","","","","","",4,5,"Determining reactions/interest in helping to different social reactions.","Would a person be willing to help someone in need if they do not have a close personal relationship with them.",2,"",1,2,2,"","The only thing I thought that could be improved is perhaps breaking up the questions a bit more and making you click ""next"" a few more times. As silly as it sounds, that short break helps me regain focus if I ever need to. I felt alert and focused in this study, however; so just a mild suggestion for the future. ","USA_02c"
"44",100,957,"R_6fvONGH8wBfIoIL",1,"sub","","","","","","","my buddy frank helped my move. sue helped find me a job. billy gave me a ride to a store. ted gave me some of his great food he cooked the other day. phil brought me out to a party.","",4,5,"No idea","No idea",2,"",2,2,2,"","","USA_02c"
"45",100,983,"R_7uckGqhdW6bNKXn",1,"measure","","","","","","","","",4,5,"gratitude and willingness to donate","At least one was whether religious people, or people who believe in the Christian God are more willing to donate or help people",1,"Yes",1,2,2,"","There's more than just Christianity as a religion and your questions about ""God"" could be rephrased to ""higher power"" and allowed me to answer yes to some questions I otherwise said no to. ","USA_02c"
"46",100,939,"R_6MPPUPbAEnNN7lI",1,"god.letter","","","","","","","","I believe in no spiritual being or higher power or God which has benefited me, so there is no way for me to describe such an entity or thank such an entity for benefitting me. Even if such a being existed, I would never thank it, given the state of the world it oversees",4,5,"Something about some kind of correlation between gratitude, religion, self-perception, etc.","I do not know",1,"Yes, I think that after thankfulness exercises I feel more thankful",1,2,2,"","No","USA_02c"
"47",100,1147,"R_10l5WSGzGT7Ie2G",1,"measure","","","","","","","","",4,5,"about Belief and relationship","emotions",2,"",1,2,2,"","","USA_02c"
"48",100,949,"R_5ITaDI5dhcBnGkF",1,"int.events","","I think the people should affect the day workout and spend more time to be managed by the events","","","","","","",4,5,"I think in digital contexts about their social and emotional lives","",2,"",1,2,2,"","","USA_02c"
"49",100,1038,"R_6nOe2WgNmAiTO2k",1,"letter","","","","I want to write a thank you letter to my wife for everything she does for our family. She works full time, spends time with our kids, cooks us dinner every night, and does so much more. I am so thankful for the things she does as I don't know how I would manage without her. She is a very hard worker and does everything she can to help provide the best life to our boys. She doesn't know just how much I appreciate her even though I try to show her all of the time.","","","","",4,5,"I think this study was about how religious vs non religious people are able to be influenced.","I think the hypotheses tested was that religious people are more easily influenced.",2,"",1,2,2,"","N/A","USA_02c"
"50",100,1073,"R_7SXtWxokAg6E4Ct",1,"events","Finances
Family
Politics
News and Media
the weather has been terrible","","","","","","","",4,4,"People","awareness",1,"Yes",1,2,2,"","No","USA_02c"
"51",100,1167,"R_7x3b9nJ0oyn1IDT",1,"sub","","","","","","","i'm grateful for shelter. the more videos i see coming out of rafah, the more i feel overwhelmingly grateful to just have shelter/safety from outside. ","",4,5,"empathy","unsure",2,"",3,2,2,"","","USA_02c"
"52",100,1079,"R_3kGQ4rkNKJKQXv0",1,"hk.list","","","","","","I was grateful to see my friends this past weekend in New York. I visited for a friend's birthday. I received lots of social interaction and the joy of seeing my best friend. I gave money for a gift and travel costs, and also a large amount of my time. I could visit her more often. 

I was grateful to return home and to see my boyfriend and cat. I received the joy of being back home and with them. I gave money to get home and also the time and work of getting back home. I could give more love and care to the both of them. 

I was grateful to get into my bed after a very long day. I received the comfort of my bed. I gave my money to buy the bed. I could be in bed more often.","","",4,4,"I think this study was about beliefs and how they affect perceptions","People who believe in God are more grateful and positively perceive things more often",1,"Yes",1,2,2,"","No, it was pretty good! The second line example was a little confusing since we were seeing the correct answer marked with a red check mark, that was obviously the one I picked","USA_02c"
"53",100,1078,"R_6lDj5cyWD9V0fgB",1,"letter","","","","Hello Sara,

Thank you so much for the work you did providing in home care services for my mother in the years leading up to her passing.  I can't thank you enough for taking such good care of her.  She always looked forward to you coming to see her, and she thought the world of you.  You were the best friend she had in those years, besides me.  As a son, there is only so much she could talk about with me.  It was so important for her to have you as someone she could trust and talk to a couple of days a week.  You did the things that needed to be done for her, such as helping her bathe, cooking meals for her, doing her laundry.  You also helped me immensely as well.  As her only caregiver, who also worked 50+ hours per week, I was stretched to the limit physically, mentally and emotionally.  Simply knowing that you would be there at least twice a week for a few hours made my life a lot easier during those times.  I will be forever grateful of the positive impact you had on my mother's life, and I will never forget you.","","","","",4,4,"I don't know","I don't know",1,"Yes",1,2,2,"","No","USA_02c"
"54",100,1253,"R_1ff1S99I6v7HIyn",1,"sub","","","","","","","The thing I treasure is the open space I live in. Before I used to live in the suburbs and felt like I was isolated in my house unable to do anything just a prison to come from and go to work. Now i'm in a beach city where I can constantly go be active walk enjoy the outdoors and the fresh air. Without it i'm in a constant state of depression with no escape. ","",4,5,"religion tied to morals ","if people of faith had a different moral compass ",2,"",2,2,2,"","N/A","USA_02c"
"55",100,1266,"R_7CfnQymafHrkAQj",1,"text","","","","","I really enjoyed our trip this weekend.  Thanks for going with me and spending time with me.  I'm very grateful for all of the driving that you helped with as well!","","","",4,5,"How perception of line size changed when shown what the expected answer was","That seeing the checkmark by the wrong line would influence people to choose it anyway",2,"",1,2,2,"","no","USA_02c"
"56",100,1224,"R_1VtKDB9fptPgT3r",1,"list","","","I am grateful for God, health, being able to pay my bills, discernment, my family and my peace","","","","","",4,4,"personalities ","different outlooks and personalities ",1,"yes ",1,2,2,"","","USA_02c"
"57",100,752,"R_5A0uIvcxbDWvGXA",1,"events","i went for a hike, I avoided a stupid cat, I went for a run, I drank some water, I bought a car","","","","","","","",4,5,"generosity","if family will increase willingness to share money",1,"no",1,2,2,"","","USA_02c"
"58",100,1291,"R_52suq61IZKUrnZn",1,"events","Five events that affected me:  dinner with my mom and dad, a disagreement with my sons, sleeping in on a holiday, deep cleaning the downstairs, and going to the movies","","","","","","","",4,4,"Hodge podge of beliefs and behaviours","",1,"Not really",3,2,2,"","","USA_02c"
"59",100,1231,"R_3qszSWiLDzYZjYn",1,"list","","","My kids, being able to stay home with the baby, my husband working so hard for us, having the skills to cook from scratch, and coffee (I've got an infant, so sleep doesn't happen a lot these days).","","","","","",4,5,"My feelings, how I feel towards others, politics, religion, and one specific friend.","How people feel about themselves reflects on how they feel about others.",2,"",1,2,2,"","It was great!","USA_02c"
"60",100,1262,"R_5wvr2YZbNQBHKmR",1,"list","","","Even the last week of my life has been absolute shit. I am still grateful for a few things. I am grateful that i'm still alive and breathing. I am thankful that I have a wonderful husband that I will spend the rest of my life with. I am grateful that I have a home to live in and that we are financially stable.","","","","","",4,5,"Peoples feelings toward others","How much someone feels toward their friends",2,"",2,2,2,"","","USA_02c"
"61",100,1178,"R_3ypVRkBhSJkaJS6",1,"letter","","","","I want to write this letter to my partner. I am so grateful for all he does for me and our kids. He is hard working and never complains. He is so thoughtful and caring and makes my life easier and better every single day for the last 9 years. His patience with me and our kids means the world to me.","","","","",4,5,"Compassion and sympathy towards friends.","How compassionate you are to strangers vs friends.",1,"Yes",1,2,2,"","No, it was great.","USA_02c"
"62",100,1228,"R_5OVI0HrttgwF1Ek",1,"sub","","","","","","","My cat, my parents, my health, the true friends that I have, a roof over my head.
If I didn't have my parents in my life it would be a lone existence. They are my ride or die, always have my back people. As the grow older I am so thankful that they are still here with me, as many people do not get this luxury.","",4,5,"Compassion ","How much compassion people have for others and jealously over what others have. General Contentment.",1,"Yes",1,2,2,"","","USA_02c"
"63",100,1204,"R_6kccNv9FUiORKtc",1,"int.events","","Driving through Portugal, sitting on a plane with people from around the world, listening to people in the airport speak many different languages, eating. Portuguese food, traveling with my husband","","","","","","",4,5,"to find correleation in opinions","",2,"",3,2,2,"","","USA_02c"
"64",100,1018,"R_1TT8Xe4oUlgzaXH",1,"events","I had a tough day with finances, social isolation, self-care, lack of physical activity, waking up late. ","","","","","","","",4,5,"unsure","unsure",2,"",1,2,2,"","","USA_02c"
"65",100,1412,"R_5hQJ8vSnCUylnYB",1,"god.letter","","","","","","","","I refer to this higher power as God the Divine Spirit All That Is The Universe or Source
Thank you God for the blessings and prosperity bestowed upon my life I am so so grateful. Thank you thank you thank you Amen",4,5,"beliefs and emotions","possibly whether spiritual or religious beliefs effect emotions and emotional thoughts and responses",1,"yes",1,2,2,"","no feedback","USA_02c"
"66",100,1529,"R_6eJR63GgkzjprW1",1,"hk.list","","","","","","I'm grateful for moving back to Reno and getting away from a strange living situation that seemed like a cult. I'm thankful that my skills where transferable and lastly thankful for meeting my partner, Anthony.","","",4,4,"Friendship","people rate the questions higher the closer they are with a person",1,"no",2,2,2,"","No feedback.","USA_02c"
"67",100,1215,"R_7TGnWHpr6t6EExp",1,"sub","","","","","","","health
finances
family
country
alive

family, i really love my family. i have so many things to talk about my family. they always help me when ever i am down and needy. they are a vital part of my living.","",4,5,"n/a","n/a",2,"",1,2,2,"","","USA_02c"
"68",100,1327,"R_6AFLyoSQXUjC2qY",1,"hk.list","","","","","","1) Last Tuesday, I was finishing a trip to Ireland, where I visited my sister. I was grateful to spend time with her and received the joy of seeing her for the first time in over a year. In this case, I gave money and time to make the travel arrangements possible. I could have spent more time and money to stay longer. 2) This past weekend, my boyfriend and I had his kids stay with us (he has joint custody with his ex), and we had a fire pit out back and made s'mores. I was grateful for this peaceful time with all of them, and I received a sense of family. For this, I spent time and money arranging for the fire pit and s'mores. I could have made it more entertaining for the kids. 3) Today I was grateful to sleep in. I received relaxation and rest, and I gave part of the productive portion of my day in exchange. I could have gone to bed earlier and have gotten more rest with the same wake-up time.","","",4,5,"Religiosity, community, and gratefulness","People who are more religious and feel more connected to their community are more grateful for their current situation in life.",1,"I think it worked as a useful tool to help be aware of personal feelings of gratitude, but I eventually stopped the journal as it began to feel like a task rather than a pleasant exercise.",1,2,2,"","","USA_02c"
"69",100,1301,"R_742uwEhyw5l5e77",1,"hk.list","","","","","","I'm really grateful that I have had the opportunity to begin going to therapy to help manage my mental health. I just had a really good session last week, where my therapist was able to help me understand that my life is fluid, and I don't have to be so stressed and overwhelmed about making all of the right choices in the next step of my career. I received a sense of freedom, and I think I'm already giving more positivity to the world around me. I want to keep growing with this and continue working on becoming a true optimist. Not only does it make life easier, but I am also able to use that attitude in all parts of my day-to-day life. 
Second, I feel grateful for the moments I have gotten to just sit outside and be. The weather in New England has been so lovely, and I had a really good moment a few days ago, where I just sat and read my book and took in the outdoors. It felt really good to relax in that way. I received a relaxing moment, and for the rest of the day I think I gave good energy to those around me. I was pretty happy that day. I could do be outside more. 
Finally, I'm thankful for this moment to have with my cat. It's been a really dark and scary few months, but now I'm just getting to sit with her as I type this up. I can tell it makes her happy, and I'm so thankful to have such a joyful little creature in my life. I receive love from her, but I also give it. It would be really good for me to spend more time with her like this, instead of rushing around to the next task. ","","",4,4,"Perspective","What ideology has to do with decision making ",1,"Yes",1,2,2,"","","USA_02c"
